Month,GMT,RNXO,RO3,RPM25,RSO2
1.10.10,11:00,153.2193548,712,15.17741935,4.422580645
1.7.17,05:00,108.9225806,232,8.912903226,1.641935484
1.3.14,02:00,91.14516129,680,22.75806452,2.335483871
1.12.15,19:00,140.3516129,1140,14.51612903,1.829032258
1.8.10,13:00,119.8483871,1263,10.66774194,3.806451613
1.2.18,19:00,138.0714286,579,13.23928571,3
1.8.18,19:00,85.99032258,896,8.490322581,1.548387097
1.9.17,03:00,60.53333333,379,10.26,1.29
1.11.17,07:00,228.76,83,12.27666667,5.910344828
1.4.16,23:00,108.14,1166,12.72,5.51
1.1.14,04:00,79.78387097,1444,9.206451613,0.95483871
1.4.10,02:00,81.43,1478,17.06,3.176666667
1.9.13,19:00,167.93,121,18.67333333,2.823333333
1.6.16,19:00,109.0433333,1581,14.365,5.896666667
1.7.10,16:00,113.1806452,1658,13.05806452,3.24516129
1.12.13,09:00,230.0774194,665,14.07741935,4.158064516
1.7.11,13:00,127.8806452,1766,12.81290323,2.706451613
1.10.18,20:00,129.5096774,233,14.78387097,-1.158064516
1.9.12,02:00,70.69,770,11.75333333,1.753333333
1.8.15,10:00,138.8935484,1310,10.46774194,0.790322581
1.11.12,16:00,242.4133333,112,15.59333333,4.32
1.11.14,00:00,157.8275862,165,20.56896552,2.931034483
1.2.16,17:00,182.3034483,956,12.08965517,3.927586207
1.9.17,01:00,58.72666667,476,10.89333333,0.866666667
1.6.17,12:00,119.9133333,1677,10.63,2.068965517
1.10.14,12:00,172.5096774,908,11.46451613,3.806451613
1.7.17,13:00,119.2903226,1435,9.929032258,1.051612903
1.6.15,01:00,54.08333333,1513,10.69,4.43
1.2.13,09:00,240.0464286,644,22.20357143,5.032142857
1.12.12,20:00,175.4193548,663,15.78064516,4.009677419
1.8.12,05:00,159.9193548,73,15.45806452,2.303225806
1.5.18,02:00,51.64193548,1568,19.74516129,0.758064516
1.4.12,11:00,148.0666667,1820,12.62666667,2.576666667
1.12.16,23:00,222.4032258,52,26.15483871,5.987096774
1.9.14,20:00,144.9966667,388,28.98333333,5.736666667
1.4.16,20:00,136.2733333,1248,14.26,5.466666667
