Month,GMT,RNXO,RO3,RPM25,RSO2,AQI
1.8.10,18:00,112.7774194,27.62580645,11.12258065,3.106451613,132.7774194
1.8.10,19:00,105.3741935,24.79354839,11.6483871,2.825806452,125.3741935
1.8.10,20:00,105.516129,21.07096774,12.36451613,2.977419355,125.516129
1.8.10,21:00,100.4064516,20.69677419,11.87419355,2.893548387,120.4064516
1.8.10,22:00,92.72580645,20.37741935,11.50645161,2.870967742,112.7258065
1.8.10,23:00,81.47741935,21.12580645,10.81290323,2.816129032,101.4774194
1.9.10,0:00,90.17333333,18.87,11.92666667,3.183333333,110.1733333
1.9.10,1:00,79.50666667,19.04333333,11.71333333,3.19,131.8833333
1.9.10,2:00,71.46333333,19.56666667,11.49,2.476666667,121.8291667
1.9.10,3:00,75.43,18.43666667,12.19,2.516666667,126.7875
1.9.10,4:00,104.0266667,14.64333333,13.48666667,2.763333333,124.0266667
1.9.10,5:00,169.1533333,10.88333333,16.27666667,3.43,189.1533333
1.9.10,6:00,222.3333333,8.92,18.57,4.206666667,242.3333333
1.9.10,7:00,213.57,11.16333333,18.76,4.666666667,233.57
1.9.10,8:00,187.1866667,15.25333333,17.43333333,4.676666667,207.1866667
1.9.10,9:00,161.7066667,20.36666667,15.66,4.566666667,181.7066667
1.9.10,10:00,146.57,23.89666667,14.16333333,4.526666667,166.57
1.9.10,11:00,140.9166667,26.99666667,14.26333333,4.4,160.9166667
1.9.10,12:00,136.9333333,28.81666667,14.38666667,4.373333333,156.9333333
1.9.10,13:00,135.2266667,29.33333333,14.15,4.14,155.2266667
1.9.10,14:00,139.1133333,29.46,14.01,4.106666667,159.1133333
1.9.10,15:00,137.6666667,28.78333333,14.71333333,3.793333333,157.6666667
1.9.10,16:00,138.1333333,28,14.39,3.556666667,158.1333333
1.9.10,17:00,141.6533333,25.81666667,14.23,3.543333333,161.6533333
1.9.10,18:00,144.02,21.38,14.22,3.23,164.02
1.9.10,19:00,135.3133333,19.42666667,14.58,3.083333333,155.3133333
1.9.10,20:00,129.5266667,18.16,14.64333333,2.993333333,149.5266667
1.9.10,21:00,124.5133333,17.09666667,14.68333333,2.933333333,144.5133333
1.9.10,22:00,118.1233333,16.47,13.90666667,2.963333333,138.1233333
1.9.10,23:00,106.0433333,17.45333333,13.18333333,2.933333333,126.0433333
1.10.10,0:00,90.97096774,20.68709677,15.0516129,3.041935484,110.9709677
1.10.10,1:00,75.91290323,21.50322581,14.28709677,2.458064516,127.391129
1.10.10,2:00,70.06129032,24.07419355,13.8516129,2.419354839,120.0766129
1.10.10,3:00,71.01612903,23.97741935,14.10645161,2.458064516,121.2701613
1.10.10,4:00,92.96774194,20.74193548,14.50322581,2.658064516,112.9677419
1.10.10,5:00,150,15.0516129,16.42903226,3.225806452,170
1.10.10,6:00,198.0741935,11.73225806,17.11290323,3.94516129,218.0741935
1.10.10,7:00,207.5193548,11.87096774,17.03870968,4.503225806,227.5193548
1.10.10,8:00,197.8,13.8483871,17.56451613,4.412903226,217.8
1.10.10,9:00,182.7806452,16.78064516,17.11935484,4.377419355,202.7806452
1.10.10,10:00,163.4096774,19.96451613,16.22258065,4.493548387,183.4096774
1.10.10,11:00,153.2193548,22.82258065,15.17741935,4.422580645,173.2193548
1.10.10,12:00,147.5806452,25.18709677,14.87096774,4.15483871,167.5806452
1.10.10,13:00,144.783871,25.82580645,14.67419355,4.170967742,164.783871
1.10.10,14:00,148.2419355,25.25483871,14.70967742,4.112903226,168.2419355
1.10.10,15:00,149.2935484,24.08387097,14.80322581,3.777419355,169.2935484
1.10.10,16:00,160.1258065,19.62580645,15.35806452,3.622580645,180.1258065
1.10.10,17:00,169.6258065,15.8,16.49354839,3.54516129,189.6258065
1.10.10,18:00,167.7548387,14.2516129,17.4516129,3.364516129,187.7548387
1.10.10,19:00,150.2774194,15.71935484,17.46774194,3.267741935,170.2774194
1.10.10,20:00,137.1580645,17.37741935,17.03225806,3.325806452,157.1580645
1.10.10,21:00,134.5548387,17.53225806,17.25806452,3.293548387,154.5548387
1.10.10,22:00,125.2354839,17.97741935,16.9483871,3.125806452,145.2354839
1.10.10,23:00,109.8677419,19.77096774,16.21612903,3.019354839,129.8677419
1.11.10,0:00,145.8466667,16.78,26.2,3.65,165.8466667
1.11.10,1:00,125.1666667,18.67,24.16666667,2.89,145.1666667
1.11.10,2:00,104.62,21.4,22.20666667,2.913333333,124.62
1.11.10,3:00,96.00333333,22.9,20.21333333,2.756666667,116.0033333
1.11.10,4:00,99.3,21.78,18.6,2.84,119.3
1.11.10,5:00,124.6366667,18.39666667,17.24333333,3.156666667,144.6366667
1.11.10,6:00,177.7033333,14.34,18.84333333,3.833333333,197.7033333
1.11.10,7:00,224.64,11.61666667,20.61,4.64,244.64
1.11.10,8:00,234.9933333,11.41666667,20.78,5.146666667,254.9933333
1.11.10,9:00,232.95,12.97666667,20.74333333,5.096666667,252.95
1.11.10,10:00,222.1066667,15.06,20.39333333,5.033333333,242.1066667
1.11.10,11:00,206.1366667,16.78333333,18.96666667,5.15,226.1366667
1.11.10,12:00,196.8666667,17.47,18.35,4.98,216.8666667
1.11.10,13:00,187.71,17.63333333,18.27666667,4.736666667,207.71
1.11.10,14:00,187.4466667,17.30333333,17.88,4.506666667,207.4466667
1.11.10,15:00,198.3833333,15.23,18.81,4.4,218.3833333
1.11.10,16:00,219.7033333,11.88666667,20.01,4.493333333,239.7033333
1.11.10,17:00,226.48,9.993333333,20.86,4.366666667,246.48
1.11.10,18:00,223.7933333,10.53,21.87333333,4.31,243.7933333
1.11.10,19:00,217.03,11.27333333,24.97333333,4.323333333,237.03
1.11.10,20:00,199.1666667,12.46,29.07666667,4.246666667,219.1666667
1.11.10,21:00,185.9466667,13.60333333,29.30666667,4.403333333,205.9466667
1.11.10,22:00,176.8766667,14.70333333,29.33666667,4.263333333,196.8766667
1.11.10,23:00,160.2366667,16.39666667,27.71,3.873333333,180.2366667
1.12.10,0:00,132.5451613,11.80967742,22.14516129,2.764516129,152.5451613
1.12.10,1:00,114.9193548,13.37741935,20.28064516,2.4,134.9193548
1.12.10,2:00,96.43870968,15.47096774,19.50967742,2.325806452,116.4387097
1.12.10,3:00,91.16774194,15.91612903,18.2483871,2.177419355,111.1677419
1.12.10,4:00,95.18064516,14.94193548,18.41935484,2.370967742,115.1806452
1.12.10,5:00,120.9,12.14516129,19.25483871,2.829032258,140.9
1.12.10,6:00,164.6258065,9.612903226,21.0516129,3.483870968,184.6258065
1.12.10,7:00,209.983871,7.609677419,22.21935484,4.090322581,229.983871
1.12.10,8:00,235.2225806,7.067741935,23.3483871,4.758064516,255.2225806
1.12.10,9:00,241.1483871,7.935483871,23.78387097,4.977419355,261.1483871
1.12.10,10:00,238.4935484,9.280645161,24.29032258,4.996774194,258.4935484
1.12.10,11:00,231.3129032,10.39677419,24.73225806,5.096774194,251.3129032
1.12.10,12:00,223.7451613,11.5516129,24.00322581,4.961290323,243.7451613
1.12.10,13:00,220.383871,11.78709677,23.83225806,4.712903226,240.383871
1.12.10,14:00,217.9903226,10.83548387,23.35483871,4.54516129,237.9903226
1.12.10,15:00,219.1516129,9.606451613,23.08387097,4.429032258,239.1516129
1.12.10,16:00,221.5193548,8.787096774,23.42903226,4.412903226,241.5193548
1.12.10,17:00,219.9774194,8.851612903,23.7516129,4.283870968,239.9774194
1.12.10,18:00,217.183871,9.741935484,24.03548387,4.293548387,237.183871
1.12.10,19:00,206.8612903,9.85483871,24.48064516,4.393548387,226.8612903
1.12.10,20:00,185.1709677,9.503225806,24.27741935,4.177419355,205.1709677
1.12.10,21:00,167.0741935,9.535483871,24.28387097,4.05483871,187.0741935
1.12.10,22:00,160.1741935,9.935483871,24.03870968,3.780645161,180.1741935
1.12.10,23:00,146.5129032,10.24193548,22.87419355,3.396774194,166.5129032
1.1.11,0:00,106.483871,24.22258065,17.26129032,3.319354839,126.483871
1.1.11,1:00,86.16774194,26.7,15.6516129,2.083870968,106.1677419
1.1.11,2:00,66.95806452,29.79032258,15.22580645,2.34516129,116.1975806
1.1.11,3:00,60.17419355,30.79354839,14.56129032,2.287096774,107.7177419
1.1.11,4:00,63.48709677,30.08387097,14.71612903,2.35483871,111.858871
1.1.11,5:00,87.13870968,26.13548387,14.68064516,2.693548387,107.1387097
1.1.11,6:00,137.0903226,20.50967742,16.56129032,3.332258065,157.0903226
